seed,tve_pct,phcv_pct
0,24.6755,10.0311
1,27.2942,13.1808
2,22.8540,7.7360
3,24.9304,8.7198
4,29.9355,13.6340
5,23.1449,7.3776
6,21.7726,5.9644
7,20.2967,7.3566
8,22.9790,12.0749
9,18.0833,4.6348
10,27.6747,9.3683
11,20.6210,7.9116
12,28.4020,10.2540
13,28.1474,10.7242
14,26.6374,10.8610
15,26.3782,10.5003
16,21.9306,3.0273
17,21.5955,5.9521
18,28.8843,7.9248
19,28.8597,8.9701
20,28.5146,10.8670
21,26.8278,18.0302
22,27.5351,11.9297
23,21.8961,10.0768
24,20.1241,3.0079
25,26.4557,5.3661
26,15.7243,3.4581
27,26.7461,9.3559
28,28.9427,9.1445
29,26.9427,6.4069
30,27.9146,10.1534
31,30.0623,8.8038
32,24.9188,7.8788
33,27.5095,5.2242
34,29.3073,12.5450
35,24.4914,7.5366
36,26.9684,10.1616
37,27.3901,7.7989
38,26.4253,9.2260
39,26.0534,13.6978
40,26.7419,8.1662
41,25.3280,9.1576
42,32.1975,12.7177
43,25.5709,10.4291
44,24.0902,3.6772
45,27.6091,10.4828
46,25.3948,7.8860
47,25.3678,18.0369
48,26.2478,9.0863
49,29.7859,15.6861
50,26.8625,8.9915
51,15.5420,4.0040
52,27.1489,6.5257
53,27.2740,11.2974
54,26.4580,7.2486
55,31.2857,13.3852
56,24.6376,11.0555
57,28.4179,8.3483
58,23.9160,9.5667
59,26.1280,8.5116
60,22.4381,2.9994
61,28.0787,10.7402
62,28.6214,5.1738
63,24.9632,13.0923
64,24.1180,4.0620
65,26.2659,7.5319
66,27.1666,7.7625
67,24.8483,4.5281
68,21.7777,10.7931
69,25.5228,10.8193
70,27.4480,5.6460
71,21.1467,6.0567
72,28.1579,13.0287
73,28.3436,9.2089
74,29.1039,9.5476
75,24.2090,7.8528
76,25.7134,12.9807
77,27.3917,6.3844
78,28.6857,8.3212
79,27.4530,10.6608
80,26.7881,5.5014
81,19.7427,3.6541
82,24.9895,7.0722
83,29.0150,10.6606
84,20.4416,5.6742
85,25.6655,7.0482
86,25.6972,8.3340
87,23.5344,13.2266
88,28.6928,11.7522
89,18.4833,-3.2506
90,29.2729,12.8584
91,27.9537,12.0165
92,23.7498,5.4318
93,24.7764,11.4208
94,30.7471,8.6557
95,28.3344,13.3433
96,23.5304,1.9040
97,24.6527,9.3939
98,25.2383,7.1163
99,22.8928,10.4680
